Strategy,Description,Type,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Discretionary
0,NoAct,prop,0,0,0,0,0,0,0,0,0,0,0,0,0
1,S Spring,prop,0,0,-1,-1,1,1,0,0,0,0,0,0,0
2,S Summer,prop,0,0,-1,-1,0,0,1,1,1,0,0,0,0
3,S Both,prop,0,0,-1,-1,1,1,1,1,1,0,0,0,0
4,H Summer,prop,0,0,0,0,-1,-1,1,1,1,0,0,0,0
5,S AugSept,prop,0,0,-1,-1,0,0,0,1,1,0,0,0,0
6,S Sept,prop,0,0,-1,-1,0,0,0,0,1,0,0,0,0
7,S Aug,prop,0,0,-1,-1,0,0,0,1,0,0,0,0,0
8,S JulyAug,prop,0,0,-1,-1,0,0,1,1,0,0,0,0,0
9,S July,prop,0,0,-1,-1,0,0,1,0,0,0,0,0,0
10,S JulySept,prop,0,0,-1,-1,0,0,1,0,1,0,0,0,0
11,A Spring,prop,0,0,0,0,1,1,0,0,0,0,0,0,-1
12,A Summer,prop,0,0,0,0,0,0,1,1,1,0,0,0,-1
13,A Both,prop,0,0,0,0,1,1,1,1,1,0,0,0,-1
14,B Spring,prop,0,0,-1,-1,1,1,0,0,0,0,0,0,-1
15,B Summer,prop,0,0,-1,-1,0,0,1,1,1,0,0,0,-1
16,B Both,prop,0,0,-1,-1,1,1,1,1,1,0,0,0,-1
17,A AugSept,prop,0,0,0,0,0,0,0,1,1,0,0,0,-1
18,A Sept,prop,0,0,0,0,0,0,0,0,1,0,0,0,-1
19,A Aug,prop,0,0,0,0,0,0,0,1,0,0,0,0,-1
20,A JulyAug,prop,0,0,0,0,0,0,1,1,0,0,0,0,-1
21,A July,prop,0,0,0,0,0,0,1,0,0,0,0,0,-1
22,A JulySept,prop,0,0,0,0,0,0,1,0,1,0,0,0,-1
23,B AugSept,prop,0,0,-1,-1,0,0,0,1,1,0,0,0,-1
24,B Sept,prop,0,0,-1,-1,0,0,0,0,1,0,0,0,-1
25,B Aug,prop,0,0,-1,-1,0,0,0,1,0,0,0,0,-1
26,B JulyAug,prop,0,0,-1,-1,0,0,1,1,0,0,0,0,-1
27,B July,prop,0,0,-1,-1,0,0,1,0,0,0,0,0,-1
28,B JulySept,prop,0,0,-1,-1,0,0,1,0,1,0,0,0,-1
